column name,display,data type,output units,input column name,input units,description
id,DJA Source ID,int,,id,,The DJA source id of the object 
ra,Right Ascension,float,Degrees,ra,Degrees, The right ascension of the object in degrees
dec,Declination,float,Degrees,dec,Degrees, The declination of the object in degrees
flux_radius,Flux Radius,float,arcseconds,flux_radius,arcseconds, The flux radius of the object in arcseconds
abmag_f435w,Magnitude (F435W),float,magnitude,f435w_corr_1,microJansky, The magnitude of the object in filter F435W (HST/ACS_WFC)
abmag_f475w,Magnitude (F475W),float,magnitude,f475w_corr_1,microJansky, The magnitude of the object in filter F475W (HST/ACS_WFC)
abmag_f606w,Magnitude (F606W),float,magnitude,f606w_corr_1,microJansky, The magnitude of the object in filter F606W (HST/ACS_WFC)
abmag_f775w,Magnitude (F775W),float,magnitude,f775w_corr_1,microJansky, The magnitude of the object in filter F775W (HST/ACS_WFC)
abmag_f814w,Magnitude (F814W),float,magnitude,f814w_corr_1,microJansky, The magnitude of the object in filter F814W (HST/ACS_WFC)
abmag_f070w,Magnitude (F070W),float,magnitude,f070w_corr_1,microJansky, The magnitude of the object in filter F070W (NIRCam)
abmag_f090w,Magnitude (F090W),float,magnitude,f090w_corr_1,microJansky, The magnitude of the object in filter F090W (NIRCam)
abmag_f105w,Magnitude (F105W),float,magnitude,f105w_corr_1,microJansky, The magnitude of the object in filter F105W (HST/WFC3_IR)
abmag_f115w,Magnitude (F115W),float,magnitude,f115w_corr_1,microJansky, The magnitude of the object in filter F115W (NIRCam)
abmag_f125w,Magnitude (F125W),float,magnitude,f125w_corr_1,microJansky, The magnitude of the object in filter F125W (HST/WFC3_IR)
abmag_f140w,Magnitude (F140W),float,magnitude,f140w_corr_1,microJansky, The magnitude of the object in filter F140W (HST/WFC3_IR)
abmag_f140m,Magnitude (F140M),float,magnitude,f140m_corr_1,microJansky, The magnitude of the object in filter F140M (NIRCam)
abmag_f150w,Magnitude (F150W),float,magnitude,f150w_corr_1,microJansky, The magnitude of the object in filter F150W (NIRCam)
abmag_f160w,Magnitude (F160W),float,magnitude,f160w_corr_1,microJansky, The magnitude of the object in filter F160W (HST/WFC3_IR)
abmag_f162m,Magnitude (F162M),float,magnitude,f150w2-f162m_corr_1,microJansky, The magnitude of the object in filter F162M with F150W2 blocking (NIRCam)
abmag_f182m,Magnitude (F182M),float,magnitude,f182m_corr_1,microJansky, The magnitude of the object in filter F182M (NIRCam)
abmag_f200w,Magnitude (F200W),float,magnitude,f200w_corr_1,microJansky, The magnitude of the object in filter F200W (NIRCam)
abmag_f210m,Magnitude (F210M),float,magnitude,f210m_corr_1,microJansky, The magnitude of the object in filter F210M (NIRCam)
abmag_f250m,Magnitude (F250M),float,magnitude,f250m_corr_1,microJansky, The magnitude of the object in filter F250M (NIRCam)
abmag_f277w,Magnitude (F277W),float,magnitude,f277w_corr_1,microJansky, The magnitude of the object in filter F277W (NIRCam)
abmag_f300m,Magnitude (F300M),float,magnitude,f300m_corr_1,microJansky, The magnitude of the object in filter F300M (NIRCam)
abmag_f335m,Magnitude (F335M),float,magnitude,f335m_corr_1,microJansky, The magnitude of the object in filter F335M (NIRCam)
abmag_f356w,Magnitude (F356W),float,magnitude,f356w_corr_1,microJansky, The magnitude of the object in filter F356W (NIRCam)
abmag_f360m,Magnitude (F360M),float,magnitude,f360m_corr_1,microJansky, The magnitude of the object in filter F360M (NIRCam)
abmag_f410m,Magnitude (F410M),float,magnitude,f410m_corr_1,microJansky, The magnitude of the object in filter F410M (NIRCam)
abmag_f430m,Magnitude (F430M),float,magnitude,f430m_corr_1,microJansky, The magnitude of the object in filter F430M (NIRCam)
abmag_f444w,Magnitude (F444W),float,magnitude,f444w_corr_1,microJansky, The magnitude of the object in filter F444W (NIRCam)
abmag_f460m,Magnitude (F460M),float,magnitude,f460m_corr_1,microJansky, The magnitude of the object in filter F460M (NIRCam)
abmag_f480m,Magnitude (F480M),float,magnitude,f480m_corr_1,microJansky, The magnitude of the object in filter F480M (NIRCam)
abmag_f090wn,Magnitude (F090WN),float,magnitude,f090wn_corr_1,microJansky, The magnitude of the object in filter F090WN (NIRISS)
abmag_f1000w,Magnitude (F1000W),float,magnitude,f1000w_corr_1,microJansky, The magnitude of the object in filter F1000W (MIRI)
abmag_f110w,Magnitude (F110W),float,magnitude,f110w_corr_1,microJansky, The magnitude of the object in filter F110W (HST/WFC3_IR)
abmag_f115wn,Magnitude (F115WN),float,magnitude,f115wn_corr_1,microJansky, The magnitude of the object in filter F115WN (NIRISS)
abmag_f1280w,Magnitude (F1280W),float,magnitude,f1280w_corr_1,microJansky, The magnitude of the object in filter F1000W (MIRI)
abmag_f140mn,Magnitude (F140MN),float,magnitude,f140mn_corr_1,microJansky, The magnitude of the object in filter F140MN (NIRISS)
abmag_f1500w,Magnitude (F1500W),float,magnitude,f1500w_corr_1,microJansky, The magnitude of the object in filter F1500W (MIRI)
abmag_f150wn,Magnitude (F150WN),float,magnitude,f150wn_corr_1,microJansky, The magnitude of the object in filter F150WN (NIRISS)
abmag_f158mn,Magnitude (F158MN),float,magnitude,f158mn_corr_1,microJansky, The magnitude of the object in filter F158MN (NIRISS)
abmag_f1800w,Magnitude (F1800W),float,magnitude,f1800w_corr_1,microJansky, The magnitude of the object in filter F1800W (MIRI)
abmag_f200wn,Magnitude (F200WN),float,magnitude,f200wn_corr_1,microJansky, The magnitude of the object in filter F200WN (NIRISS)
abmag_f2100w,Magnitude (F2100W),float,magnitude,f2100w_corr_1,microJansky, The magnitude of the object in filter F2000W (MIRI)
abmag_f350lpu,Magnitude (F350LPU),float,magnitude,f350lpu_corr_1,microJansky, The magnitude of the object in filter F350LPU (HST/WFC3_UVIS2)
abmag_f560w,Magnitude (F560W),float,magnitude,f560w_corr_1,microJansky, The magnitude of the object in filter F560W (MIRI)
abmag_f606wu,Magnitude (F606WU),float,magnitude,f606wu_corr_1,microJansky, The magnitude of the object in filter F606WU (HST/WFC3_UVIS2)
abmag_f770w,Magnitude (F770W),float,magnitude,f770w_corr_1,microJansky, The magnitude of the object in filter F770W (MIRI)
abmag_f850lp,Magnitude (F850LP),float,magnitude,f850lp_corr_1,microJansky, The magnitude of the object in filter F850LP (HST/ACS_WFC)
abmag_f850lpu,Magnitude (F850LPU),float,magnitude,f850lpu_corr_1,microJansky, The magnitude of the object in filter F850LPU (HST/WFC3_UVIS2)